決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,61,14371,北海道,北竜町,5,2,決算収支の状況,1,令和4年度,3886654,3835026,51628,397,51231,-592,170,0,0,-422
2022,61,14389,北海道,沼田町,5,2,決算収支の状況,1,令和4年度,6402711,6187265,215446,46497,168949,46317,150072,61010,0,257399
2022,61,14524,北海道,鷹栖町,5,2,決算収支の状況,1,令和4年度,6570319,6286714,283605,15270,268335,90110,141694,0,0,231804
2022,61,14532,北海道,東神楽町,5,2,決算収支の状況,1,令和4年度,9512624,8838521,674103,351949,322154,33138,333000,0,380000,-13862
2022,61,14541,北海道,当麻町,5,2,決算収支の状況,1,令和4年度,7394184,7189505,204679,4023,200656,-33040,16,0,226399,-259423
2022,61,14559,北海道,比布町,5,2,決算収支の状況,1,令和4年度,4109764,3825059,284705,9898,274807,-15966,710,0,149000,-164256
2022,61,14567,北海道,愛別町,5,2,決算収支の状況,1,令和4年度,3552219,3408516,143703,1000,142703,41653,487,0,101080,-58940
2022,61,14575,北海道,上川町,5,2,決算収支の状況,1,令和4年度,6049547,5772591,276956,4855,272101,102651,423,0,0,103074
2022,61,14583,北海道,東川町,5,2,決算収支の状況,1,令和4年度,16092496,15411899,680597,37032,643565,254773,503,0,0,255276
2022,61,14591,北海道,美瑛町,5,2,決算収支の状況,1,令和4年度,11894728,11635030,259698,3747,255951,-20141,3,0,0,-20138
2022,61,14605,北海道,上富良野町,5,2,決算収支の状況,1,令和4年度,9323142,8757073,566069,68615,497454,43695,34,0,0,43729
2022,61,14613,北海道,中富良野町,5,2,決算収支の状況,1,令和4年度,6464562,6243285,221277,1,221276,-8301,147652,0,75956,63395
2022,61,14621,北海道,南富良野町,5,2,決算収支の状況,1,令和4年度,4459515,4352117,107398,39784,67614,-43969,1,0,0,-43968
2022,61,14630,北海道,占冠村,5,2,決算収支の状況,1,令和4年度,2710056,2656707,53349,1120,52229,-8434,4,0,15060,-23490
2022,61,14648,北海道,和寒町,5,2,決算収支の状況,1,令和4年度,4845692,4716749,128943,10986,117957,7380,86588,15161,147112,-37983
2022,61,14656,北海道,剣淵町,5,2,決算収支の状況,1,令和4年度,4581923,4439147,142776,3658,139118,4619,95346,0,80000,19965
2022,61,14681,北海道,下川町,5,2,決算収支の状況,1,令和4年度,6093600,5857349,236251,450,235801,65615,20,0,28570,37065
2022,61,14699,北海道,美深町,5,2,決算収支の状況,1,令和4年度,5787262,5206470,580792,25566,555226,161486,27,0,0,161513
2022,61,14702,北海道,音威子府村,5,2,決算収支の状況,1,令和4年度,2196900,2077961,118939,99,118840,14028,5364,0,75069,-55677
2022,61,14711,北海道,中川町,5,2,決算収支の状況,1,令和4年度,5101787,5010373,91414,9648,81766,-58107,70023,0,0,11916
2022,61,14729,北海道,幌加内町,5,2,決算収支の状況,1,令和4年度,4259567,4175016,84551,0,84551,-6039,50197,0,0,44158
2022,61,14818,北海道,増毛町,5,2,決算収支の状況,1,令和4年度,6708243,6533725,174518,0,174518,-41971,1366,0,373519,-414124
2022,61,14826,北海道,小平町,5,2,決算収支の状況,1,令和4年度,4722722,4380435,342287,11548,330739,-44928,121,0,0,-44807
2022,61,14834,北海道,苫前町,5,2,決算収支の状況,1,令和4年度,6513950,6387157,126793,1,126792,-23273,1825,0,0,-21448
2022,61,14842,北海道,羽幌町,5,2,決算収支の状況,1,令和4年度,7197315,6963339,233976,6815,227161,34874,2,0,0,34876
2022,61,14851,北海道,初山別村,5,2,決算収支の状況,1,令和4年度,2711349,2676959,34390,16274,18116,-6523,22,0,0,-6501
2022,61,14869,北海道,遠別町,5,2,決算収支の状況,1,令和4年度,4872272,4732176,140096,4957,135139,11918,12336,0,0,24254
2022,61,14877,北海道,天塩町,5,2,決算収支の状況,1,令和4年度,6222819,6067240,155579,38781,116798,-233690,40007,0,0,-193683
2022,61,15113,北海道,猿払村,5,2,決算収支の状況,1,令和4年度,5560474,5458169,102305,774,101531,21955,40498,0,0,62453
2022,61,15121,北海道,浜頓別町,5,2,決算収支の状況,1,令和4年度,5110620,4941794,168826,0,168826,-93893,137965,0,0,44072
2022,61,15130,北海道,中頓別町,5,2,決算収支の状況,1,令和4年度,4284352,4181732,102620,4727,97893,-76164,18,0,0,-76146
2022,61,15148,北海道,枝幸町,5,2,決算収支の状況,1,令和4年度,12566750,12383803,182947,99712,83235,-300,42515,0,47777,-5562
2022,61,15164,北海道,豊富町,5,2,決算収支の状況,1,令和4年度,6968701,6362455,606246,0,606246,-75518,263013,0,0,187495
2022,61,15172,北海道,礼文町,5,2,決算収支の状況,1,令和4年度,5487151,5402778,84373,0,84373,9294,256616,0,369285,-103375
2022,61,15181,北海道,利尻町,5,2,決算収支の状況,1,令和4年度,4595968,4441250,154718,9747,144971,20686,200001,0,0,220687
2022,61,15199,北海道,利尻富士町,5,2,決算収支の状況,1,令和4年度,5687043,5624948,62095,400,61695,-4299,104853,0,0,100554
2022,61,15202,北海道,幌延町,5,2,決算収支の状況,1,令和4年度,5104505,4932985,171520,20364,151156,16968,131,22950,0,40049
2022,61,15431,北海道,美幌町,5,2,決算収支の状況,1,令和4年度,13120188,12914745,205443,30950,174493,86750,90741,0,40,177451
2022,61,15440,北海道,津別町,5,2,決算収支の状況,1,令和4年度,8654093,8441677,212416,2003,210413,35367,465219,138240,315662,323164
2022,61,15458,北海道,斜里町,5,2,決算収支の状況,1,令和4年度,10003757,9653520,350237,3004,347233,-17165,64066,0,63093,-16192
2022,61,15466,北海道,清里町,5,2,決算収支の状況,1,令和4年度,5791354,5381884,409470,111378,298092,-53963,33,0,94733,-148663
2022,61,15474,北海道,小清水町,5,2,決算収支の状況,1,令和4年度,8014315,7634731,379584,8297,371287,-43730,8,0,0,-43722
2022,61,15491,北海道,訓子府町,5,2,決算収支の状況,1,令和4年度,5427757,5154814,272943,10400,262543,26438,3979,0,6600,23817
2022,61,15504,北海道,置戸町,5,2,決算収支の状況,1,令和4年度,5073445,4929059,144386,0,144386,8634,0,0,45205,-36571
2022,61,15521,北海道,佐呂間町,5,2,決算収支の状況,1,令和4年度,5966938,5769671,197267,0,197267,-13585,4889,0,0,-8696
2022,61,15555,北海道,遠軽町,5,2,決算収支の状況,1,令和4年度,18337761,17141265,1196496,10220,1186276,205004,324,100678,337327,-31321
2022,61,15598,北海道,湧別町,5,2,決算収支の状況,1,令和4年度,11767477,11166023,601454,35405,566049,159296,435831,0,0,595127
2022,61,15601,北海道,滝上町,5,2,決算収支の状況,1,令和4年度,5096752,4764471,332281,687,331594,-56470,250599,0,0,194129
2022,61,15610,北海道,興部町,5,2,決算収支の状況,1,令和4年度,5884175,5635006,249169,3000,246169,-1984,39830,0,0,37846
2022,61,15628,北海道,西興部村,5,2,決算収支の状況,1,令和4年度,3169185,3124409,44776,12265,32511,-37665,12561,0,41822,-66926
2022,61,15636,北海道,雄武町,5,2,決算収支の状況,1,令和4年度,7532108,7079479,452629,55062,397567,17803,1510,0,380000,-360687
2022,61,15644,北海道,大空町,5,2,決算収支の状況,1,令和4年度,11988760,11735044,253716,33965,219751,24396,383,0,0,24779
2022,61,15717,北海道,豊浦町,5,2,決算収支の状況,1,令和4年度,5628084,5594135,33949,11478,22471,-22019,342,0,0,-21677
2022,61,15750,北海道,壮瞥町,5,2,決算収支の状況,1,令和4年度,4128266,4020101,108165,8664,99501,39760,105502,0,0,145262
2022,61,15784,北海道,白老町,5,2,決算収支の状況,1,令和4年度,12970222,12625348,344874,8424,336450,27513,81460,0,100200,8773
2022,61,15814,北海道,厚真町,5,2,決算収支の状況,1,令和4年度,10557619,9996754,560865,287043,273822,-389752,1804,0,0,-387948
2022,61,15849,北海道,洞爺湖町,5,2,決算収支の状況,1,令和4年度,8162322,7879426,282896,16926,265970,68330,1175,0,0,69505
2022,61,15857,北海道,安平町,5,2,決算収支の状況,1,令和4年度,10713099,10488407,224692,75696,148996,19393,214324,0,0,233717
2022,61,15865,北海道,むかわ町,5,2,決算収支の状況,1,令和4年度,10072649,9799691,272958,24121,248837,-4838,1818,0,224580,-227600
2022,61,16012,北海道,日高町,5,2,決算収支の状況,1,令和4年度,13137372,12768855,368517,21596,346921,29848,158966,174358,218016,145156
2022,61,16021,北海道,平取町,5,2,決算収支の状況,1,令和4年度,8090084,8011960,78124,1383,76741,-37253,3416,0,0,-33837
2022,61,16047,北海道,新冠町,5,2,決算収支の状況,1,令和4年度,7993959,7889619,104340,811,103529,-16411,212213,0,5654,190148
2022,61,16071,北海道,浦河町,5,2,決算収支の状況,1,令和4年度,10487817,10183724,304093,14090,290003,-9530,56,0,183591,-193065
2022,61,16080,北海道,様似町,5,2,決算収支の状況,1,令和4年度,5276205,5198383,77822,97,77725,23811,26,0,0,23837
2022,61,16098,北海道,えりも町,5,2,決算収支の状況,1,令和4年度,5865792,5798830,66962,17276,49686,-19428,344000,0,337000,-12428
2022,61,16101,北海道,新ひだか町,5,2,決算収支の状況,1,令和4年度,19351503,18961090,390413,843,389570,-98592,25786,154542,0,81736
2022,61,16314,北海道,音更町,5,2,決算収支の状況,1,令和4年度,23428584,22799598,628986,23851,605135,25524,8,0,0,25532
2022,61,16322,北海道,士幌町,5,2,決算収支の状況,1,令和4年度,8377707,8016603,361104,85606,275498,6300,50057,0,0,56357
2022,61,16331,北海道,上士幌町,5,2,決算収支の状況,1,令和4年度,9610230,9237001,373229,10,373219,-137218,100441,0,143286,-180063
2022,61,16349,北海道,鹿追町,5,2,決算収支の状況,1,令和4年度,8205392,7598928,606464,9107,597357,65109,65,0,89865,-24691
2022,61,16357,北海道,新得町,5,2,決算収支の状況,1,令和4年度,8793437,8418526,374911,193181,181730,117162,924,0,0,118086
2022,61,16365,北海道,清水町,5,2,決算収支の状況,1,令和4年度,9960159,9588542,371617,270,371347,-11820,212968,704,417020,-215168
2022,61,16373,北海道,芽室町,5,2,決算収支の状況,1,令和4年度,13425604,12881822,543782,135153,408629,-203340,22,0,0,-203318
2022,61,16381,北海道,中札内村,5,2,決算収支の状況,1,令和4年度,6916871,6538280,378591,227967,150624,-168787,19,115482,154000,-207286
2022,61,16390,北海道,更別村,5,2,決算収支の状況,1,令和4年度,6183413,5985416,197997,8942,189055,-21048,156082,55936,0,190970
2022,61,16411,北海道,大樹町,5,2,決算収支の状況,1,令和4年度,9162334,8843447,318887,14805,304082,-55481,191901,500000,0,636420
2022,61,16420,北海道,広尾町,5,2,決算収支の状況,1,令和4年度,7901350,7707403,193947,3806,190141,-36513,8,0,0,-36505
2022,61,16438,北海道,幕別町,5,2,決算収支の状況,1,令和4年度,19484047,18684132,799915,19784,780131,274570,1000,114600,460000,-69830
2022,61,16446,北海道,池田町,5,2,決算収支の状況,1,令和4年度,8246448,8026930,219518,7682,211836,-3376,106979,0,0,103603
2022,61,16454,北海道,豊頃町,5,2,決算収支の状況,1,令和4年度,7410992,7307584,103408,2138,101270,7133,528,0,0,7661
2022,61,16462,北海道,本別町,5,2,決算収支の状況,1,令和4年度,7816144,7673748,142396,14325,128071,-3848,265426,0,270832,-9254
2022,61,16471,北海道,足寄町,5,2,決算収支の状況,1,令和4年度,9858390,9710684,147706,32101,115605,-24629,192678,0,0,168049
2022,61,16489,北海道,陸別町,5,2,決算収支の状況,1,令和4年度,5596640,5501696,94944,2095,92849,-8826,113908,0,200000,-94918
2022,61,16497,北海道,浦幌町,5,2,決算収支の状況,1,令和4年度,7567743,7325539,242204,8698,233506,19437,105678,0,0,125115
2022,61,16616,北海道,釧路町,5,2,決算収支の状況,1,令和4年度,11555979,11202219,353760,8792,344968,-38581,193647,0,10000,145066
2022,61,16624,北海道,厚岸町,5,2,決算収支の状況,1,令和4年度,12069237,11422507,646730,27155,619575,26898,100000,0,302200,-175302
2022,61,16632,北海道,浜中町,5,2,決算収支の状況,1,令和4年度,9846233,9716558,129675,396,129279,-13853,65129,0,0,51276
2022,61,16641,北海道,標茶町,5,2,決算収支の状況,1,令和4年度,13959993,13813037,146956,41650,105306,-83536,366152,0,660000,-377384
2022,61,16659,北海道,弟子屈町,5,2,決算収支の状況,1,令和4年度,15312823,15144521,168302,95,168207,44172,187792,0,0,231964
2022,61,16675,北海道,鶴居村,5,2,決算収支の状況,1,令和4年度,5603976,5481083,122893,52900,69993,-3124,36575,0,58599,-25148
2022,61,16683,北海道,白糠町,5,2,決算収支の状況,1,令和4年度,25945897,25738642,207255,70,207185,88906,1272,0,132343,-42165
2022,61,16918,北海道,別海町,5,2,決算収支の状況,1,令和4年度,28747216,28412400,334816,10385,324431,-11924,1601,0,0,-10323
2022,61,16926,北海道,中標津町,5,2,決算収支の状況,1,令和4年度,17003178,16745332,257846,93840,164006,-457205,89621,133459,1211,-235336
2022,61,16934,北海道,標津町,5,2,決算収支の状況,1,令和4年度,7124292,6823643,300649,23342,277307,-52426,1,0,0,-52425
2022,61,16942,北海道,羅臼町,5,2,決算収支の状況,1,令和4年度,6186239,5815738,370501,5539,364962,16403,174426,0,98217,92612
2022,61,18015,北海道,日高中部広域連合,6,2,決算収支の状況,1,令和4年度,452719,452248,471,0,471,144,0,0,0,144
2022,61,18023,北海道,北海道市町村総合事務組合,6,2,決算収支の状況,1,令和4年度,1077036,1062357,14679,0,14679,-5446,5590,0,3300,-3156
2022,61,18031,北海道,南空知葬斎組合,6,2,決算収支の状況,1,令和4年度,52207,46659,5548,0,5548,1637,0,0,0,1637
2022,61,18058,北海道,北海道市町村備荒資金組合,6,2,決算収支の状況,1,令和4年度,19417951,19414433,3518,3518,0,0,0,0,0,0
2022,61,18074,北海道,北海道市町村職員退職手当組合,6,2,決算収支の状況,1,令和4年度,24608835,22377618,2231217,0,2231217,269363,0,0,0,269363
2022,61,18104,北海道,北後志衛生施設組合,6,2,決算収支の状況,1,令和4年度,174913,159848,15065,0,15065,-1016,0,0,0,-1016
2022,61,18121,北海道,空知中部広域連合,6,2,決算収支の状況,1,令和4年度,105183,104094,1089,0,1089,-335,4000,0,0,3665
2022,61,18139,北海道,根室北部廃棄物処理広域連合,6,2,決算収支の状況,1,令和4年度,890437,860816,29621,0,29621,11943,0,0,0,11943
2022,61,18155,北海道,後志広域連合,6,2,決算収支の状況,1,令和4年度,200161,194438,5723,0,5723,4170,0,0,0,4170
2022,61,18163,北海道,とかち広域消防事務組合,6,2,決算収支の状況,1,令和4年度,7217249,6782428,434821,166691,268130,-98643,0,0,0,-98643
2022,61,18198,北海道,名寄地区衛生施設事務組合,6,2,決算収支の状況,1,令和4年度,753008,711120,41888,0,41888,-27522,0,0,0,-27522
2022,61,18236,北海道,富良野広域連合,6,2,決算収支の状況,1,令和4年度,2288946,2252086,36860,0,36860,-7030,0,0,0,-7030
2022,61,18244,北海道,釧路・根室広域地方税滞納整理機構,6,2,決算収支の状況,1,令和4年度,36676,34974,1702,0,1702,-653,2355,0,2089,-387
2022,61,18279,北海道,大雪浄化組合,6,2,決算収支の状況,1,令和4年度,104509,99942,4567,0,4567,315,1,0,0,316
2022,61,18295,北海道,日高東部衛生組合,6,2,決算収支の状況,1,令和4年度,181817,180741,1076,0,1076,-4471,1,0,2000,-6470
2022,61,18309,北海道,上川中部福祉事務組合,6,2,決算収支の状況,1,令和4年度,106787,106787,0,0,0,0,0,0,0,0
2022,61,18325,北海道,大雪地区広域連合,6,2,決算収支の状況,1,令和4年度,1329104,1323397,5707,0,5707,3708,0,0,0,3708
2022,61,18333,北海道,上川広域滞納整理機構,6,2,決算収支の状況,1,令和4年度,20560,19193,1367,0,1367,-2,0,0,0,-2
2022,61,18384,北海道,北空知衛生センター組合,6,2,決算収支の状況,1,令和4年度,540286,514930,25356,0,25356,-8462,0,0,0,-8462
2022,61,18481,北海道,北しりべし廃棄物処理広域連合,6,2,決算収支の状況,1,令和4年度,1360853,1324079,36774,0,36774,-9811,0,0,0,-9811
